Model Outputs
200
,,HRI_Hitesh_Lower:LAbsAnkleAngle,,,HRI_Hitesh_Lower:LAnkleAngles,,,HRI_Hitesh_Lower:LAnkleForce,,,HRI_Hitesh_Lower:LAnkleMoment,,,HRI_Hitesh_Lower:LAnklePower,,,HRI_Hitesh_Lower:LFE,,,,,,,,,HRI_Hitesh_Lower:LFO,,,,,,,,,HRI_Hitesh_Lower:LFootProgressAngles,,,HRI_Hitesh_Lower:LHipAngles,,,HRI_Hitesh_Lower:LHipForce,,,HRI_Hitesh_Lower:LHipMoment,,,HRI_Hitesh_Lower:LHipPower,,,HRI_Hitesh_Lower:LKneeAngles,,,HRI_Hitesh_Lower:LKneeForce,,,HRI_Hitesh_Lower:LKneeMoment,,,HRI_Hitesh_Lower:LKneePower,,,HRI_Hitesh_Lower:LPelvisAngles,,,HRI_Hitesh_Lower:LTI,,,,,,,,,HRI_Hitesh_Lower:LTO,,,,,,,,,HRI_Hitesh_Lower:PEL,,,,,,,,,HRI_Hitesh_Lower:RAbsAnkleAngle,,,HRI_Hitesh_Lower:RAnkleAngles,,,HRI_Hitesh_Lower:RAnkleForce,,,HRI_Hitesh_Lower:RAnkleMoment,,,HRI_Hitesh_Lower:RAnklePower,,,HRI_Hitesh_Lower:RFE,,,,,,,,,HRI_Hitesh_Lower:RFO,,,,,,,,,HRI_Hitesh_Lower:RFootProgressAngles,,,HRI_Hitesh_Lower:RHipAngles,,,HRI_Hitesh_Lower:RHipForce,,,HRI_Hitesh_Lower:RHipMoment,,,HRI_Hitesh_Lower:RHipPower,,,HRI_Hitesh_Lower:RKneeAngles,,,HRI_Hitesh_Lower:RKneeForce,,,HRI_Hitesh_Lower:RKneeMoment,,,HRI_Hitesh_Lower:RKneePower,,,HRI_Hitesh_Lower:RPelvisAngles,,,HRI_Hitesh_Lower:RTI,,,,,,,,,HRI_Hitesh_Lower:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
458,0,,,,,,,,,,,,,,,,23.3564,-24.7171,239.745,-131.928,383.985,513.401,348.202,348.202,348.202,,,,,,,,,,,,,1.92014,3.16526,26.7179,,,,,,,,,,,,,,,,,,,,,,5.6027,-10.1131,1.39641,,,,,,,,,,,,,,,,,,,-3.70432,12.3039,-90.5641,-137.217,362.727,866.897,173.755,173.755,173.755,13.5477,0,0,36.6176,14.9238,-66.8753,-0.107067,0.03083,-0.0360558,-12.3517,-1.47645e-15,-6.33985,0,0,0.00879944,-40.4926,7.43167,-29.1654,-325.803,148.593,605.277,365.37,365.37,365.37,94.7743,52.0747,189.095,-312.339,273.03,332.257,187.129,187.129,187.129,-48.7929,32.1138,-31.9618,42.0094,-8.00352,59.2098,0.251331,-1.05807,1.21301,-73.5526,218.233,-5.27883,0,0,0.455079,86.3851,83.8297,55.2091,-0.159323,0.349321,0.393516,-18.1647,-19.8296,-1.81879,0,0,0.101945,5.6027,10.1131,-1.39641,50.6981,3.7507,-52.6536,-238.743,345.248,417.815,240.986,240.986,240.986,94.7743,52.0747,189.095,-345.358,233.216,297.394,62.3765,62.3764,62.3765
459,0,,,,,,,,,,,,,,,,23.3634,-24.7292,239.881,-131.978,383.916,513.456,348.231,348.231,348.231,,,,,,,,,,,,,1.89114,3.06996,26.6004,,,,,,,,,,,,,,,,,,,,,,5.55847,-10.202,1.37284,,,,,,,,,,,,,,,,,,,-3.8069,12.3378,-90.5369,-137.283,362.727,867.126,173.755,173.755,173.755,13.678,0,0,36.2322,14.595,-66.4174,-0.106136,0.026333,-0.0366117,-12.2561,-0,-5.97452,0,0,0.00812857,-41.1662,7.20658,-29.3298,-325.622,145.493,608.49,364.966,364.966,364.966,94.398,51.391,189.56,-310.736,271.483,337.215,187.129,187.129,187.129,-48.2678,32.2901,-31.9547,42.6133,-8.00015,58.9273,0.237183,-1.06393,1.19833,-67.2231,218.165,-7.78691,0,0,0.442516,96.9748,83.6706,64.9494,-0.176534,0.343787,0.383907,-21.002,-18.8902,-1.54553,0,0,0.104519,5.55847,10.202,-1.37284,51.2936,3.8634,-53.1738,-237.198,342.934,423.464,240.357,240.357,240.357,94.398,51.391,189.56,-343.749,231.988,301.986,62.3764,62.3765,62.3764
460,0,,,,,,,,,,,,,,,,23.3702,-24.7377,240.019,-132.021,383.835,513.514,348.255,348.255,348.255,,,,,,,,,,,,,1.86045,2.97011,26.4842,,,,,,,,,,,,,,,,,,,,,,5.51123,-10.2945,1.34607,,,,,,,,,,,,,,,,,,,-3.91427,12.3721,-90.5065,-137.348,362.72,867.361,173.755,173.755,173.755,13.8018,0,0,35.822,14.2685,-65.9449,-0.105079,0.0222554,-0.0370939,-12.1485,3.69113e-15,-5.62184,0,0,0.0074378,-41.8414,6.96645,-29.5025,-325.388,142.395,611.74,364.569,364.569,364.569,94.0673,50.7362,190.031,-309.155,269.866,342.129,187.129,187.129,187.129,-47.7694,32.4179,-31.9343,43.2165,-7.9904,58.6271,0.225373,-1.06664,1.18145,-61.6503,217.702,-9.89493,0,0,0.430023,106.487,83.3001,73.5919,-0.191739,0.337601,0.374288,-23.4253,-18.0037,-1.29375,0,0,0.106687,5.51123,10.2945,-1.34607,51.8648,3.99542,-53.6958,-235.688,340.592,429.033,239.783,239.783,239.783,94.0673,50.7362,190.031,-342.149,230.669,306.55,62.3764,62.3765,62.3765
461,0,,,,,,,,,,,,,,,,23.3763,-24.7416,240.158,-132.055,383.743,513.576,348.276,348.276,348.276,,,,,,,,,,,,,1.8282,2.86573,26.3702,,,,,,,,,,,,,,,,,,,,,,5.46106,-10.3904,1.31626,,,,,,,,,,,,,,,,,,,-4.02624,12.4067,-90.4732,-137.412,362.707,867.602,173.755,173.755,173.755,13.9192,0,0,35.3926,13.9459,-65.4595,-0.104203,0.0182027,-0.037754,-12.0608,-0,-5.24185,0,0,0.00666112,-42.5177,6.71266,-29.6813,-325.106,139.299,615.025,364.181,364.181,364.181,93.7771,50.1133,190.508,-307.6,268.182,346.997,187.129,187.129,187.129,-47.2981,32.5011,-31.9006,43.8191,-7.97514,58.3121,0.213062,-1.0719,1.16629,-55.9658,217.712,-11.8725,0,0,0.418081,114.576,82.7636,80.7939,-0.207564,0.331646,0.365707,-25.8219,-17.2769,-1.01535,0,0,0.109685,5.46106,10.3904,-1.31626,52.4115,4.14564,-54.2169,-234.218,338.228,434.522,239.263,239.263,239.263,93.777,50.1133,190.508,-340.562,229.265,311.084,62.3765,62.3765,62.3765
462,0,,,,,,,,,,,,,,,,23.3814,-24.7406,240.297,-132.08,383.639,513.639,348.292,348.292,348.292,,,,,,,,,,,,,1.79445,2.75688,26.2589,,,,,,,,,,,,,,,,,,,,,,5.40798,-10.4894,1.28356,,,,,,,,,,,,,,,,,,,-4.14255,12.4416,-90.437,-137.474,362.686,867.848,173.755,173.755,173.755,14.0301,0,0,34.9489,13.6285,-64.9628,-0.103208,0.0145988,-0.0383511,-11.9681,-1.84557e-15,-4.87163,0,0,0.00587637,-43.1949,6.44672,-29.8636,-324.78,136.208,618.345,363.802,363.802,363.802,93.5229,49.525,190.988,-306.072,266.435,351.816,187.129,187.129,187.129,-46.8542,32.5435,-31.8538,44.4209,-7.95524,57.9852,0.203239,-1.07378,1.14915,-51.0895,217.241,-13.4032,0,0,0.406675,121.235,82.1062,86.5533,-0.221067,0.325225,0.356891,-27.7494,-16.6109,-0.751112,0,0,0.111893,5.40798,10.4894,-1.28356,52.9333,4.31272,-54.7346,-232.792,335.848,439.929,238.796,238.796,238.796,93.5229,49.525,190.988,-338.991,227.778,315.584,62.3765,62.3765,62.3765
463,0,,,,,,,,,,,,,,,,23.3853,-24.7341,240.437,-132.095,383.523,513.703,348.305,348.305,348.305,,,,,,,,,,,,,1.75935,2.64382,26.1507,,,,,,,,,,,,,,,,,,,,,,5.35211,-10.5912,1.24815,,,,,,,,,,,,,,,,,,,-4.26286,12.4765,-90.3982,-137.537,362.659,868.097,173.755,173.755,173.755,14.1347,0,0,34.4952,13.3172,-64.4565,-0.102278,0.0113041,-0.0389789,-11.8894,-2.39924e-15,-4.49639,0,0,0.00506026,-43.8724,6.17012,-30.0472,-324.417,133.125,621.698,363.431,363.431,363.431,93.3007,48.9733,191.469,-304.574,264.629,356.584,187.129,187.129,187.129,-46.438,32.5488,-31.7941,45.0218,-7.93168,57.6491,0.193085,-1.07772,1.13309,-46.2814,217.25,-14.6867,0,0,0.396541,126.642,81.3659,91.0501,-0.23426,0.318888,0.349105,-29.4803,-16.062,-0.480567,0,0,0.11407,5.35211,10.5912,-1.24815,53.43,4.49532,-55.2468,-231.411,333.456,445.251,238.382,238.382,238.382,93.3006,48.9733,191.469,-337.439,226.212,320.048,62.3765,62.3765,62.3765
464,0,,,,,,,,,,,,,,,,23.3877,-24.7219,240.576,-132.1,383.395,513.767,348.315,348.315,348.315,,,,,,,,,,,,,1.72298,2.52683,26.046,,,,,,,,,,,,,,,,,,,,,,5.29357,-10.6952,1.21024,,,,,,,,,,,,,,,,,,,-4.3868,12.5112,-90.357,-137.598,362.625,868.35,173.755,173.755,173.755,14.2331,0,0,34.0355,13.0129,-63.9422,-0.101162,0.00846596,-0.0394795,-11.8025,-2.76835e-15,-4.1293,0,0,0.00425027,-44.5501,5.88444,-30.2301,-324.02,130.052,625.081,363.07,363.07,363.07,93.1069,48.4597,191.95,-303.11,262.768,361.298,187.129,187.129,187.129,-46.0495,32.5208,-31.722,45.6217,-7.90538,57.3067,0.187127,-1.07872,1.11523,-42.6247,216.795,-15.4706,0,0,0.387809,131.024,80.5715,94.516,-0.244716,0.312589,0.341003,-30.6886,-15.6132,-0.221812,0,0,0.115188,5.29357,10.6952,-1.21024,53.9014,4.69189,-55.752,-230.079,331.056,450.49,238.017,238.017,238.017,93.1069,48.4597,191.95,-335.907,224.57,324.474,62.3765,62.3764,62.3765
465,0,,,,,,,,,,,,,,,,23.3886,-24.7043,240.714,-132.096,383.255,513.829,348.323,348.323,348.323,,,,,,,,,,,,,1.68543,2.40645,25.9446,,,,,,,,,,,,,,,,,,,,,,5.23251,-10.8012,1.17004,,,,,,,,,,,,,,,,,,,-4.51384,12.5454,-90.3137,-137.659,362.585,868.603,173.755,173.755,173.755,14.3254,0,0,33.5729,12.7161,-63.421,-0.100151,0.00581489,-0.0400818,-11.7346,2.76835e-15,-3.74557,0,0,0.00339657,-45.2275,5.59117,-30.4103,-323.593,126.989,628.494,362.72,362.72,362.72,92.9387,47.9854,192.429,-301.68,260.855,365.956,187.129,187.129,187.129,-45.6885,32.4627,-31.6383,46.2206,-7.87736,56.9606,0.179841,-1.08079,1.09862,-38.7726,216.583,-16.0931,0,0,0.379769,134.596,79.744,97.1674,-0.255187,0.30625,0.333688,-31.772,-15.2524,0.057,0,0,0.116223,5.23251,10.8012,-1.17004,54.3472,4.90101,-56.2491,-228.797,328.652,455.641,237.703,237.703,237.703,92.9387,47.9854,192.429,-334.4,222.855,328.858,62.3765,62.3765,62.3765
466,0,,,,,,,,,,,,,,,,23.388,-24.6816,240.851,-132.082,383.105,513.889,348.33,348.33,348.33,,,,,,,,,,,,,1.64681,2.28319,25.8464,,,,,,,,,,,,,,,,,,,,,,5.16914,-10.9085,1.12782,,,,,,,,,,,,,,,,,,,-4.64349,12.579,-90.2686,-137.72,362.538,868.857,173.755,173.755,173.755,14.4118,0,0,33.1102,12.4273,-62.8943,-0.0989702,0.00369984,-0.0405329,-11.6595,2.03012e-15,-3.37951,0,0,0.0025779,-45.9044,5.29183,-30.5862,-323.143,123.941,631.933,362.381,362.381,362.381,92.7936,47.5506,192.903,-300.286,258.893,370.556,187.129,187.129,187.129,-45.3548,32.3778,-31.544,46.8185,-7.84852,56.6133,0.17641,-1.08131,1.08067,-35.9933,216.151,-16.249,0,0,0.373606,137.535,78.8984,99.185,-0.263088,0.300187,0.32641,-32.3621,-15.0024,0.316883,0,0,0.116122,5.16914,10.9085,-1.12782,54.7676,5.12112,-56.7373,-227.565,326.247,460.706,237.436,237.436,237.436,92.7937,47.5506,192.903,-332.918,221.071,333.2,62.3764,62.3765,62.3765
467,0,,,,,,,,,,,,,,,,23.3858,-24.6544,240.987,-132.06,382.944,513.945,348.336,348.336,348.336,,,,,,,,,,,,,1.60713,2.15777,25.7511,,,,,,,,,,,,,,,,,,,,,,5.10363,-11.0167,1.08379,,,,,,,,,,,,,,,,,,,-4.77517,12.6117,-90.2219,-137.78,362.485,869.111,173.755,173.755,173.755,14.4926,0,0,32.6496,12.1466,-62.3631,-0.0976728,0.0019223,-0.0408293,-11.5809,1.47645e-15,-3.0151,0,0,0.00176592,-46.5806,4.98782,-30.7563,-322.673,120.908,635.397,362.053,362.053,362.053,92.6698,47.1553,193.371,-298.929,256.884,375.095,187.129,187.129,187.129,-45.0481,32.2692,-31.4401,47.4155,-7.81983,56.2672,0.173992,-1.08115,1.06298,-33.6095,215.559,-16.1155,0,0,0.368422,139.983,78.0455,100.711,-0.269498,0.294169,0.31902,-32.632,-14.8163,0.574339,0,0,0.115224,5.10363,11.0167,-1.08379,55.1624,5.35079,-57.2167,-226.383,323.841,465.681,237.215,237.215,237.215,92.6698,47.1553,193.371,-331.465,219.221,337.496,62.3765,62.3765,62.3765
468,0,,,,,,,,,,,,,,,,23.3824,-24.6234,241.123,-132.032,382.774,513.997,348.343,348.343,348.343,,,,,,,,,,,,,1.56643,2.03087,25.6581,,,,,,,,,,,,,,,,,,,,,,5.03619,-11.1251,1.0382,,,,,,,,,,,,,,,,,,,-4.90837,12.6432,-90.174,-137.84,362.426,869.363,173.755,173.755,173.755,14.5679,0,0,32.1925,11.8741,-61.8283,-0.0964239,0.00038451,-0.0412033,-11.5121,-1.84557e-16,-2.6473,0,0,0.000948532,-47.2558,4.68046,-30.9194,-322.187,117.893,638.884,361.738,361.738,361.738,92.5659,46.7989,193.831,-297.611,254.832,379.573,187.129,187.129,187.129,-44.7677,32.1394,-31.328,48.0114,-7.7921,55.9242,0.172726,-1.08072,1.04546,-31.5766,214.923,-15.768,0,0,0.364227,142.046,77.1932,101.854,-0.275022,0.288485,0.31225,-32.7061,-14.7414,0.838206,0,0,0.113951,5.03619,11.1251,-1.0382,55.5317,5.58861,-57.6877,-225.25,321.437,470.566,237.038,237.038,237.038,92.5659,46.7989,193.831,-330.043,217.309,341.744,62.3764,62.3765,62.3765
469,0,,,,,,,,,,,,,,,,23.3778,-24.5898,241.258,-131.997,382.596,514.044,348.351,348.351,348.351,,,,,,,,,,,,,1.52464,1.90327,25.567,,,,,,,,,,,,,,,,,,,,,,4.96702,-11.2333,0.991309,,,,,,,,,,,,,,,,,,,-5.04252,12.6733,-90.1249,-137.898,362.36,869.613,173.755,173.755,173.755,14.6377,0,0,31.7403,11.6099,-61.2906,-0.0949679,-0.000837732,-0.0414562,-11.4268,2.30696e-15,-2.28813,0,0,0.000160673,-47.9298,4.37099,-31.0744,-321.688,114.897,642.39,361.437,361.437,361.437,92.4812,46.4801,194.281,-296.332,252.739,383.986,187.129,187.129,187.129,-44.5132,31.9912,-31.2094,48.6063,-7.76612,55.5863,0.173872,-1.07879,1.02765,-30.1761,213.852,-15.1491,0,0,0.36076,143.808,76.3474,102.698,-0.278901,0.283089,0.304964,-32.4877,-14.7557,1.09018,0,0,0.111955,4.96702,11.2333,-0.991309,55.8754,5.83328,-58.1509,-224.165,319.035,475.358,236.904,236.905,236.904,92.4812,46.4801,194.281,-328.653,215.337,345.943,62.3765,62.3765,62.3765
470,0,,,,,,,,,,,,,,,,23.3722,-24.5547,241.393,-131.958,382.413,514.085,348.363,348.363,348.363,,,,,,,,,,,,,1.48168,1.77588,25.4771,,,,,,,,,,,,,,,,,,,,,,4.8963,-11.3407,0.94332,,,,,,,,,,,,,,,,,,,-5.17701,12.7017,-90.0752,-137.955,362.289,869.859,173.755,173.755,173.755,14.7024,0,0,31.2938,11.3537,-60.7505,-0.0935298,-0.00184221,-0.0416274,-11.3429,-1.84557e-16,-1.93407,0,0,-0.000610267,-48.6023,4.06049,-31.2207,-321.18,111.923,645.913,361.149,361.149,361.149,92.4152,46.1973,194.719,-295.092,250.607,388.333,187.129,187.129,187.129,-44.2837,31.8267,-31.0858,49.2001,-7.74265,55.2551,0.174874,-1.07678,1.01036,-28.8656,212.728,-14.4084,0,0,0.357724,145.33,75.5123,103.306,-0.281995,0.277731,0.298137,-32.1239,-14.8098,1.33895,0,0,0.109542,4.8963,11.3407,-0.94332,56.1937,6.08359,-58.6077,-223.125,316.635,480.055,236.812,236.812,236.812,92.4152,46.1973,194.719,-327.298,213.309,350.091,62.3765,62.3765,62.3765
471,0,,,,,,,,,,,,,,,,23.366,-24.5194,241.528,-131.917,382.225,514.12,348.38,348.38,348.38,,,,,,,,,,,,,1.43744,1.64948,25.3878,,,,,,,,,,,,,,,,,,,,,,4.82426,-11.4468,0.894465,,,,,,,,,,,,,,,,,,,-5.31135,12.7282,-90.0249,-138.011,362.212,870.103,173.755,173.755,173.755,14.7619,0,0,30.8534,11.1054,-60.2087,-0.0920121,-0.00275155,-0.0418546,-11.2485,-1.66101e-15,-1.58007,0,0,-0.00136922,-49.273,3.74999,-31.3578,-320.667,108.974,649.451,360.875,360.875,360.875,92.3677,45.9487,195.143,-293.892,248.437,392.612,187.129,187.129,187.129,-44.0785,31.6482,-30.9589,49.7926,-7.72229,54.9318,0.177606,-1.07404,0.993974,-27.9379,211.176,-13.5467,0,0,0.354767,146.662,74.6915,103.727,-0.284345,0.272832,0.290819,-31.6684,-14.9694,1.58606,0,0,0.106984,4.82426,11.4468,-0.894465,56.4867,6.3384,-59.0594,-222.128,314.238,484.656,236.759,236.759,236.759,92.3677,45.9486,195.143,-325.98,211.227,354.185,62.3765,62.3765,62.3765
472,0,,,,,,,,,,,,,,,,23.3593,-24.4853,241.663,-131.876,382.035,514.149,348.402,348.402,348.402,,,,,,,,,,,,,1.39177,1.52484,25.2983,,,,,,,,,,,,,,,,,,,,,,4.75105,-11.5511,0.844942,,,,,,,,,,,,,,,,,,,-5.44506,12.7525,-89.9743,-138.064,362.129,870.341,173.755,173.755,173.755,14.8163,0,0,30.4197,10.8647,-59.6654,-0.0904622,-0.00344411,-0.0420749,-11.1447,3.69113e-16,-1.24396,0,0,-0.00208043,-49.9418,3.4403,-31.4853,-320.15,106.05,653,360.616,360.616,360.616,92.339,45.7318,195.551,-292.732,246.233,396.82,187.129,187.129,187.129,-43.8967,31.4574,-30.8304,50.3837,-7.70553,54.6176,0.181499,-1.07085,0.97781,-27.3379,209.378,-12.5698,0,0,0.352019,147.839,73.8876,103.996,-0.285914,0.268397,0.28372,-31.1233,-15.2236,1.81557,0,0,0.104228,4.75105,11.5511,-0.844942,56.7544,6.59671,-59.5077,-221.171,311.842,489.158,236.743,236.743,236.743,92.339,45.7319,195.551,-324.7,209.095,358.223,62.3765,62.3765,62.3764
473,0,,,,,,,,,,,,,,,,23.3525,-24.4538,241.799,-131.837,381.845,514.171,348.43,348.43,348.43,,,,,,,,,,,,,1.34447,1.40275,25.2081,,,,,,,,,,,,,,,,,,,,,,4.67681,-11.6532,0.794926,,,,,,,,,,,,,,,,,,,-5.57773,12.7744,-89.9237,-138.116,362.04,870.576,173.755,173.755,173.755,14.8658,0,0,29.9926,10.6314,-59.121,-0.0889412,-0.00434992,-0.0424084,-11.0343,-2.03012e-15,-0.892263,0,0,-0.00281171,-50.6081,3.13215,-31.6033,-319.632,103.154,656.558,360.373,360.373,360.373,92.3293,45.5444,195.943,-291.612,243.996,400.955,187.129,187.129,187.129,-43.7374,31.2561,-30.7022,50.9731,-7.6928,54.3132,0.183629,-1.06719,0.963485,-26.2739,207.198,-11.7489,0,0,0.347882,148.891,73.1026,104.143,-0.288254,0.263672,0.276372,-30.7639,-15.468,2.05952,0,0,0.101841,4.67681,11.6532,-0.794926,56.9972,6.85759,-59.9542,-220.251,309.449,493.559,236.762,236.762,236.762,92.3293,45.5444,195.943,-323.46,206.917,362.204,62.3765,62.3765,62.3765
474,0,,,,,,,,,,,,,,,,23.3457,-24.4261,241.935,-131.8,381.656,514.186,348.466,348.466,348.466,,,,,,,,,,,,,1.29541,1.28387,25.1165,,,,,,,,,,,,,,,,,,,,,,4.60173,-11.7528,0.744587,,,,,,,,,,,,,,,,,,,-5.70891,12.7938,-89.8731,-138.167,361.945,870.806,173.755,173.755,173.755,14.9103,0,0,29.5722,10.4053,-58.5758,-0.0873345,-0.00490748,-0.0426307,-10.904,4.54182e-16,-0.583527,0,0,-0.00343929,-51.2718,2.8262,-31.7117,-319.115,100.289,660.122,360.145,360.145,360.145,92.3388,45.3841,196.317,-290.532,241.729,405.016,187.129,187.129,187.129,-43.5997,31.0459,-30.5759,51.5605,-7.6844,54.0192,0.188394,-1.06291,0.948468,-25.8854,204.652,-10.7526,0,0,0.344052,149.839,72.3382,104.19,-0.288982,0.259482,0.268766,-30.2362,-15.8015,2.26017,0,0,0.099009,4.60173,11.7528,-0.744587,57.2152,7.12015,-60.4005,-219.366,307.057,497.858,236.815,236.815,236.815,92.3388,45.384,196.317,-322.261,204.694,366.126,62.3765,62.3765,62.3765
475,0,,,,,,,,,,,,,,,,23.3393,-24.4035,242.072,-131.769,381.47,514.194,348.51,348.51,348.51,,,,,,,,,,,,,1.2444,1.16878,25.023,,,,,,,,,,,,,,,,,,,,,,4.52586,-11.8495,0.694038,,,,,,,,,,,,,,,,,,,-5.83843,12.8106,-89.8227,-138.214,361.845,871.031,173.755,173.755,173.755,14.9499,0,0,29.1586,10.1861,-58.0302,-0.0857984,-0.00585855,-0.0432114,-10.7661,7.61296e-16,-0.25463,0,0,-0.00409365,-51.9322,2.52296,-31.8107,-318.601,97.457,663.688,359.932,359.932,359.932,92.368,45.248,196.671,-289.491,239.434,409.001,187.129,187.129,187.129,-43.4827,30.8284,-30.4529,52.1454,-7.68051,53.736,0.191077,-1.05872,0.936681,-24.8979,201.734,-10.0055,0,0,0.338414,150.7,71.5958,104.152,-0.291495,0.255408,0.261125,-30.1009,-16.1866,2.47968,0,0,0.0971076,4.52586,11.8495,-0.694038,57.4087,7.38359,-60.8483,-218.511,304.666,502.053,236.899,236.899,236.899,92.368,45.2481,196.671,-321.105,202.432,369.985,62.3765,62.3765,62.3765
476,0,,,,,,,,,,,,,,,,23.3335,-24.3869,242.211,-131.745,381.288,514.196,348.563,348.563,348.563,,,,,,,,,,,,,1.19129,1.05795,24.9272,,,,,,,,,,,,,,,,,,,,,,4.44934,-11.9432,0.643418,,,,,,,,,,,,,,,,,,,-5.96601,12.8246,-89.7728,-138.26,361.74,871.251,173.755,173.755,173.755,14.9846,0,0,28.7519,9.97358,-57.4846,-0.0843631,-0.00676765,-0.0438317,-10.6216,-1.10734e-15,0.0488698,0,0,-0.00468232,-52.589,2.22286,-31.9007,-318.091,94.6606,667.253,359.735,359.735,359.735,92.417,45.1341,197.005,-288.489,237.114,412.908,187.129,187.129,187.129,-43.3852,30.6049,-30.3348,52.7272,-7.68121,53.4637,0.193951,-1.05512,0.924857,-23.9307,198.631,-9.3252,0,0,0.332154,151.489,70.8765,104.044,-0.293978,0.251314,0.253411,-30.0769,-16.5785,2.67603,0,0,0.0952889,4.44934,11.9432,-0.643418,57.5781,7.64711,-61.2988,-217.685,302.277,506.141,237.012,237.012,237.012,92.417,45.1341,197.005,-319.992,200.133,373.782,62.3765,62.3765,62.3765
477,0,,,,,,,,,,,,,,,,23.3285,-24.3772,242.35,-131.73,381.112,514.192,348.625,348.625,348.625,,,,,,,,,,,,,1.13595,0.951696,24.8286,,,,,,,,,,,,,,,,,,,,,,4.37218,-12.0338,0.592812,,,,,,,,,,,,,,,,,,,-6.09156,12.8358,-89.7233,-138.304,361.628,871.467,173.755,173.755,173.755,15.0145,0,0,28.352,9.76764,-56.9394,-0.0828607,-0.00775519,-0.0445993,-10.4538,-1.66101e-15,0.334009,0,0,-0.00520982,-53.2415,1.92631,-31.982,-317.586,91.9026,670.815,359.553,359.553,359.553,92.4857,45.0399,197.318,-287.526,234.771,416.736,187.129,187.129,187.129,-43.3064,30.3768,-30.2226,53.3055,-7.68647,53.2024,0.196613,-1.05026,0.914983,-22.9111,194.955,-8.71516,0,0,0.324511,152.214,70.1811,103.875,-0.296667,0.247484,0.245366,-30.2286,-17.0262,2.85177,0,0,0.0937493,4.37218,12.0338,-0.592812,57.7239,7.90993,-61.7529,-216.885,299.891,510.123,237.151,237.151,237.151,92.4857,45.0399,197.318,-318.924,197.802,377.514,62.3765,62.3765,62.3765
478,0,,,,,,,,,,,,,,,,23.3246,-24.3749,242.492,-131.724,380.94,514.183,348.697,348.697,348.697,,,,,,,,,,,,,1.07837,0.850219,24.7268,,,,,,,,,,,,,,,,,,,,,,4.29448,-12.1212,0.542313,,,,,,,,,,,,,,,,,,,-6.21499,12.8443,-89.6743,-138.347,361.512,871.679,173.755,173.755,173.755,15.0396,0,0,27.9593,9.56814,-56.3953,-0.0815305,-0.00903973,-0.0456487,-10.2844,5.5367e-16,0.618177,0,0,-0.00571782,-53.8891,1.63363,-32.0551,-317.087,89.1859,674.368,359.385,359.385,359.385,92.5739,44.9635,197.609,-286.601,232.409,420.483,187.129,187.129,187.129,-43.2454,30.1453,-30.1173,53.8794,-7.69615,52.952,0.197417,-1.04662,0.906045,-21.3505,191.167,-8.37414,0,0,0.315411,152.886,69.5103,103.656,-0.300928,0.243279,0.2374,-30.7693,-17.4396,3.02869,0,0,0.0928224,4.29448,12.1212,-0.542313,57.8466,8.17124,-62.2113,-216.11,297.508,513.997,237.315,237.315,237.315,92.574,44.9635,197.609,-317.9,195.443,381.18,62.3764,62.3765,62.3765
479,0,,,,,,,,,,,,,,,,23.3219,-24.3802,242.634,-131.728,380.774,514.169,348.777,348.777,348.777,,,,,,,,,,,,,1.01852,0.753571,24.6218,,,,,,,,,,,,,,,,,,,,,,4.21623,-12.2055,0.491985,,,,,,,,,,,,,,,,,,,-6.33638,12.8499,-89.6259,-138.388,361.389,871.888,173.755,173.755,173.755,15.0601,0,0,27.5741,9.37499,-55.8529,-0.0802513,-0.0102621,-0.0468421,-10.102,1.2919e-15,0.865969,0,0,-0.00612791,-54.531,1.34517,-32.1203,-316.596,86.5135,677.911,359.231,359.231,359.231,92.681,44.9031,197.877,-285.715,230.032,424.148,187.129,187.129,187.129,-43.2012,29.9118,-30.0197,54.4481,-7.71007,52.7123,0.198973,-1.04238,0.898661,-20.0055,186.964,-8.02372,0,0,0.305524,153.51,68.8645,103.392,-0.304927,0.239619,0.229238,-31.4262,-17.9349,3.17105,0,0,0.0919636,4.21623,12.2055,-0.491985,57.9469,8.43023,-62.6743,-215.356,295.131,517.763,237.5,237.5,237.5,92.681,44.9031,197.877,-316.922,193.06,384.778,62.3765,62.3765,62.3765
